NB_SCATS_SITE,QT_INTERVAL_COUNT,from8to9,from3to6_30,QT_VOLUME_24HOUR,combined_peak
158,2017,3379.488888888889,9497.455555555556,42584.8,12876.944444444445
159,2017,3769.4333333333334,10933.788888888888,45745.78888888889,14703.222222222223
160,2017,686.4888888888889,2126.0777777777776,8905.544444444444,2812.5666666666666
161,2017,4195.6,10930.266666666666,48063.22222222222,15125.866666666667
162,2017,5057.9111111111115,13561.877777777778,58997.666666666664,18619.78888888889
163,2017,3792.222222222222,10005.81111111111,44325.15555555555,13798.033333333333
164,2017,6074.2,16986.5,78213.22222222222,23060.7
165,2017,3548.3,10139.155555555555,45188.75555555556,13687.455555555556
166,2017,5499.133333333333,14469.677777777777,63968.333333333336,19968.81111111111
167,2017,2718.288888888889,7814.144444444444,36423.15555555555,10532.433333333332
168,2017,5228.788888888889,13199.355555555556,55621.8,18428.144444444446
169,2017,5502.688888888889,14004.08888888889,60132.5,19506.777777777777
170,2017,4876.833333333333,14047.111111111111,58936.933333333334,18923.944444444445
171,2017,2790.7555555555555,8155.522222222222,34029.7,10946.277777777777
172,2017,3187.3555555555554,9587.666666666666,40412.85555555556,12775.022222222222
173,2017,2649.0333333333333,7686.511111111111,32704.366666666665,10335.544444444444
174,2017,4184.844444444445,11643.222222222223,50471.96666666667,15828.066666666668
175,2017,3298.366666666667,9621.18888888889,40502.688888888886,12919.555555555557
176,2017,3544.2444444444445,10925.255555555555,45953.14444444444,14469.5
177,2017,5138.033333333334,14636.466666666667,64046.51111111111,19774.5
178,2017,3079.9333333333334,9416.577777777778,39998.944444444445,12496.511111111111
179,2017,4225.2,11833.488888888889,50582.26666666667,16058.68888888889
180,2017,2730.9555555555557,8357.966666666667,34780.52222222222,11088.922222222223
181,2017,2406.5444444444443,6714.822222222222,29895.01111111111,9121.366666666667
182,2017,3002.133333333333,8551.933333333332,36489.42222222222,11554.066666666666
185,2017,5345.9,14400.577777777778,71917.93333333333,19746.477777777778
186,2017,2336.322222222222,6765.9,32299.522222222222,9102.222222222223
187,2017,2765.8888888888887,7356.622222222222,33152.444444444445,10122.511111111111
188,2017,3524.511111111111,9466.377777777778,41337.47777777778,12990.888888888889
189,2017,4531.5888888888885,11278.866666666667,51482.15555555555,15810.455555555556
190,2017,3994.177777777778,10947.388888888889,47226.73333333333,14941.566666666666
191,2017,4082.3444444444444,10765.733333333334,45532.833333333336,14848.077777777778
192,2017,3575.9,9957.255555555555,43678.2,13533.155555555555
193,2017,0.0,0.0,0.0,0.0
194,2017,3433.9444444444443,10330.477777777778,47328.75555555556,13764.422222222223
195,2017,6340.811111111111,18738.766666666666,88487.14444444445,25079.577777777777
196,2017,4136.511111111111,11823.91111111111,55248.46666666667,15960.422222222222
197,2017,3979.7555555555555,11638.41111111111,51366.03333333333,15618.166666666666
198,2017,5391.5888888888885,14679.288888888888,66507.85555555555,20070.877777777776
199,2017,4265.122222222222,10969.933333333332,50380.71111111111,15235.055555555555
200,2017,3155.4555555555557,7369.711111111111,37718.944444444445,10525.166666666666
201,2017,4247.377777777778,9415.044444444444,49351.188888888886,13662.422222222222
202,2017,6086.688888888889,16670.87777777778,81955.07777777778,22757.56666666667
203,2017,5178.4,14925.31111111111,66445.73333333334,20103.711111111108
204,2017,3597.6666666666665,10255.744444444445,44482.12222222222,13853.41111111111
205,2017,3077.6,9107.666666666666,40016.07777777778,12185.266666666666
206,2017,4001.8333333333335,12074.955555555556,53079.21111111111,16076.78888888889
208,2017,3819.233333333333,10308.544444444444,46236.72222222222,14127.777777777777
209,2017,2215.5333333333333,6016.933333333333,26291.1,8232.466666666667
211,2017,3090.0555555555557,7386.055555555556,33864.63333333333,10476.111111111111
212,2017,1367.4888888888888,4114.455555555555,17501.066666666666,5481.944444444444
213,2017,1898.2888888888888,5550.3,22317.37777777778,7448.588888888889
214,2017,3568.4,9588.7,40976.055555555555,13157.1
215,2017,3445.0,9140.3,38497.91111111111,12585.3
216,2017,3355.866666666667,9716.822222222223,41498.25555555556,13072.68888888889
217,2017,1696.6888888888889,5148.522222222222,20658.655555555557,6845.211111111111
218,2017,2182.4666666666667,6517.433333333333,27793.733333333334,8699.9
220,2017,1745.8777777777777,5247.777777777777,21054.81111111111,6993.655555555555
221,2017,2693.6444444444446,8029.988888888889,34105.055555555555,10723.633333333333
222,2017,2586.1555555555556,7355.511111111111,31179.7,9941.666666666666
223,2017,1030.3666666666666,3127.1666666666665,13142.011111111111,4157.533333333333
224,2017,2055.5,6011.922222222222,25307.166666666668,8067.422222222222
225,2017,1521.3,4566.6,18475.077777777777,6087.900000000001
226,2017,1440.1555555555556,4271.488888888889,17574.233333333334,5711.644444444444
227,2017,1735.3222222222223,5499.0,22301.544444444444,7234.322222222222
228,2017,1604.0555555555557,4695.288888888889,19276.355555555554,6299.344444444445
229,2017,1072.3222222222223,2996.7555555555555,12528.577777777778,4069.0777777777776
230,2017,2199.4444444444443,6297.633333333333,27244.2,8497.077777777777
231,2017,2799.5555555555557,8658.41111111111,36635.42222222222,11457.966666666667
232,2017,2732.811111111111,7993.377777777778,33760.47777777778,10726.18888888889
