QT_INTERVAL_COUNT,NB_SCATS_SITE,QT_VOLUME_24HOUR
2016,3382,9157735
2016,4562,9085781
2016,2434,9001080
2016,2326,8949968
2016,2985,8932491
2016,3059,8863033
2016,3052,8791988
2016,2899,8754450
2016,2100,8717353
2016,4742,8659171
2016,3735,8624904
2016,948,8603744
2016,2701,8576881
2016,2416,8569016
2016,2833,8548565
2016,2337,8547371
2016,4155,8541063
2016,2103,8524443
2016,2173,8500090
2016,725,8485695
2016,3383,8412625
2016,999,8288394
2016,4381,8275088
2016,2425,8257219
2016,3393,8231110
2016,3384,8219669
2016,4169,8218314
2016,1156,8188224
2016,2827,8129592
2016,3390,8120089
2016,3151,8115877
2016,4461,8095488
2016,2406,8044750
2016,2918,8041204
2016,195,8033102
2016,2407,8014837
2016,429,7968691
2016,814,7949717
2016,2880,7949706
2016,1144,7885649
2016,3361,7857588
2016,117,7848553
2016,2412,7837894
2016,3671,7834776
2016,3172,7826219
2016,2336,7817169
2016,2104,7788779
2016,2157,7784915
2016,3681,7776199
2016,2614,7734424
2016,2172,7734284
2016,3389,7732210
2016,4187,7689349
2016,2020,7658943
2016,3510,7646088
2016,432,7646005
2016,417,7645357
2016,2756,7641797
2016,4711,7634560
2016,2421,7632907
2016,2613,7627881
2016,3022,7618059
2016,2430,7584827
2016,4975,7479033
2016,2302,7448978
2016,2408,7375687
2016,2327,7359274
2016,202,7352237
2016,2628,7328895
2016,2422,7316094
2016,3392,7315763
2017,2438,14170628
2017,4415,14098752
2017,1359,12332918
2017,2404,12205850
2017,3360,11863405
2017,3380,11567120
2017,2487,11516615
2017,3386,11480777
2017,3519,11121738
2017,416,11093305
2017,2405,10713181
2017,855,10672906
2017,3357,10520975
2017,415,10466287
2017,414,10292312
2017,3516,10160179
2017,2929,10138296
2017,2101,10123984
2017,2173,10099806
2017,849,10019308
2017,4902,9806059
2017,3060,9804198
2017,2816,9742014
2017,2326,9621524
2017,3385,9479690
2017,2403,9403282
2017,3381,9333079
2017,2434,9192558
2017,538,9164648
2017,3383,9121533
2017,3382,9083082
2017,4562,9011854
2017,3052,8997745
2017,2316,8992147
2017,2329,8871585
2017,2985,8848599
2017,2833,8816273
2017,948,8748557
2017,3735,8676822
2017,2100,8667360
2017,725,8556894
2017,3059,8546084
2017,2899,8511235
2017,2315,8488537
2017,2425,8448999
2017,2416,8375008
2017,3706,8368547
2017,2337,8356364
2017,4155,8354361
2017,2701,8318392
2017,5003,8310209
2017,2103,8302548
2017,2827,8263692
2017,1156,8199755
2017,3384,8178150
2017,2437,8174087
2017,2020,8174055
2017,4742,8154078
2017,2407,8099962
2017,2406,8097870
2017,429,8082203
2017,4441,8021668
2017,4461,8020768
2017,3390,8014449
2017,2918,7998507
2017,195,7963843
2017,999,7953695
2017,3393,7947339
2017,3681,7942068
2017,4169,7919907
2017,4975,7897384
2017,2880,7892238
2017,2412,7881687
2017,2420,7878999
2017,1144,7878851
2017,814,7825628
2017,3389,7750223
2017,2325,7748494
2017,4381,7733564
2017,2430,7718953
2017,4711,7717967
2017,117,7680013
2017,3671,7672453
2017,2336,7671220
2017,3172,7627105
2017,3312,7618459
2017,2104,7610091
2017,3174,7594653
2017,4187,7594396
2017,2613,7593979
2017,3361,7563688
2017,2614,7552694
2017,2172,7551333
2017,2157,7537139
2017,2421,7505808
2017,2756,7503383
2017,3022,7503271
2017,2302,7458608
2017,2320,7454003
2017,2408,7414276
2018,4415,14356403
2018,2487,11869378
2018,3386,11628788
2018,849,11458328
2018,3519,11087689
2018,2405,10955298
2018,855,10935938
2018,3357,10775318
2018,2404,10565133
2018,2101,10561113
2018,414,10467379
2018,416,10467174
2018,2816,10399285
2018,1359,10397533
2018,2438,10379724
2018,2420,10341355
2018,2929,10272414
2018,415,10267746
2018,2326,9952252
2018,3060,9951831
2018,3516,9949576
2018,2316,9377191
2018,3385,9356553
2018,538,9341270
2018,3360,9314941
2018,2329,9172038
2018,2985,9130705
2018,3052,9124532
2018,3393,9022055
2018,2833,8808230
2018,2425,8719277
2018,3735,8698687
2018,3059,8635063
2018,948,8595944
2018,2337,8576587
2018,2416,8499533
2018,5003,8452704
2018,4742,8439823
2018,725,8427553
2018,2701,8419254
2018,4562,8385168
2018,2173,8375610
2018,3706,8276573
2018,2437,8250758
2018,2412,8245993
2018,1156,8238127
2018,4975,8233329
2018,2407,8233166
2018,429,8227263
2018,185,8194598
2018,3384,8172153
2018,2020,8164855
2018,2100,8148500
2018,3383,8132992
2018,2918,8094273
2018,3681,8089516
2018,2315,8054266
2018,4711,8041557
2018,3174,8017078
2018,2827,8015040
2018,999,7960487
2018,814,7936485
2018,2325,7925628
2018,3390,7906100
2018,4686,7897704
2018,1144,7884520
2018,195,7855062
2018,2336,7853748
2018,4381,7816684
2018,2403,7767511
2018,3389,7760052
2018,2172,7744834
2018,4461,7741460
2018,2157,7720068
2018,4539,7691945
2018,3361,7689462
2018,4169,7682231
2018,3671,7678744
2018,2613,7660420
2018,3312,7657172
2018,2302,7655674
2018,2409,7643896
2018,4187,7640783
2018,117,7628766
2018,2422,7627338
2018,2408,7622422
2018,2312,7612385
2018,2756,7601072
2018,2430,7588878
2018,2320,7558217
2018,432,7525454
2018,2880,7505991
2018,2882,7496035
2018,4155,7485714
2018,2421,7482657
2018,3022,7482525
2018,2406,7451142
2018,4734,7435081
2018,3392,7410638
2018,3541,7404109
2019,2628,15214794
2019,3380,15074829
2019,4415,14513463
2019,849,12802319
2019,3376,12797380
2019,2404,12267963
2019,2487,11798748
2019,3386,11748261
2019,3519,11302506
2019,3357,11021576
2019,2405,10994182
2019,855,10960366
2019,2101,10886040
2019,1359,10651959
2019,416,10643736
2019,414,10508483
2019,3516,10470172
2019,2816,10389234
2019,2326,10385162
2019,415,10376980
2019,3060,10286439
2019,3381,10220221
2019,2929,10180418
2019,2403,10028838
2019,3385,9798994
2019,3393,9642213
2019,2438,9526399
2019,538,9521884
2019,3052,9512605
2019,2316,9451319
2019,3392,9392047
2019,5003,9264195
2019,2329,9150019
2019,3360,9047206
2019,2173,8951120
2019,725,8939122
2019,2868,8919345
2019,3059,8915970
2019,2833,8896009
2019,2425,8765967
2019,2337,8735384
2019,2985,8726117
2019,3383,8721061
2019,2416,8719952
2019,948,8713087
2019,2100,8662066
2019,2918,8608080
2019,3384,8577552
2019,3706,8554936
2019,3735,8547663
2019,429,8546200
2019,4975,8495914
