HMGNS_FLOW_ID,HMGNS_LNK_ID,HMGNS_LNK_DESC,FLOW,AVERAGE,MORNING_MEAN,AFTERNOON_MEAN
4883,6206, DAWSON STREET btwn MELVILLE ROAD & GRANTHAM STREET,EAST BOUND,588.125,680.9285714285714,495.32142857142856
2323,3189, SAYERS ROAD btwn DERRIMUT ROAD & MORRIS ROAD,EAST BOUND,588.0,542.7142857142857,633.2857142857143
5321,6572, CALDER FREEWAY btwn CALDER HIGHWAY Offramp & CALDER HIGHWAY,SOUTH EAST BOUND,587.7142857142857,587.8571428571429,587.5714285714286
15922,2009, HUME FREEWAY btwn HUME FREEWAY Offramp & GOULBURN VALLEY HIGHWAY Offramp,WEST BOUND,587.2678571428571,520.8571428571429,653.6785714285714
2287,3019, SHARPS ROAD btwn TULLAMARINE PARK ROAD & MELROSE DRIVE,EAST BOUND,587.0357142857143,492.2857142857143,681.7857142857143
2029,3473, GOVERNOR ROAD btwn BOUNDARY ROAD & SPRINGVALE ROAD,EAST BOUND,587.0,431.7142857142857,742.2857142857143
10922,5709, WARRIGAL ROAD btwn RIVERSDALE ROAD & BURWOOD ROAD,NORTH BOUND,586.6428571428571,522.3571428571429,650.9285714285714
2281,2986, COBURNS ROAD btwn WESTERN HIGHWAY Offramp & BARRIES ROAD,NORTH BOUND,586.5892857142857,576.2857142857143,596.8928571428571
4210,5866, BURKE ROAD btwn MALVERN ROAD & HIGH STREET,SOUTH BOUND,586.5357142857143,540.5714285714286,632.5
12143,6165, BELMORE ROAD btwn BURKE ROAD & BALWYN ROAD,WEST BOUND,586.4642857142857,716.2142857142857,456.7142857142857
1232,1173, CHAPEL STREET btwn MCCRAE STREET & MCIVOR ROAD,SOUTH EAST BOUND,586.25,568.1428571428571,604.3571428571429
3032,3929, CENTRE ROAD btwn SPRINGVALE BYPASS & SPRINGVALE ROAD,EAST BOUND,586.1964285714286,476.42857142857144,695.9642857142857
2882,4884, MALVERN ROAD btwn KOOYONG ROAD & GLENFERRIE ROAD,EAST BOUND,586.1785714285714,442.2857142857143,730.0714285714286
4408,5111, TYABB ROAD btwn RACECOURSE ROAD & MOOROODUC HIGHWAY,EAST BOUND,586.1785714285714,531.6428571428571,640.7142857142857
9236,2989, HIGH STREET btwn ONEILLS ROAD & FERRIS ROAD,WEST BOUND,586.0535714285714,473.14285714285717,698.9642857142857
10631,4383, CENTRAL AVENUE btwn PRINCES HIGHWAY WEST Offramp & QUEEN STREET,WEST BOUND,585.9285714285714,488.5,683.3571428571429
10632,4382, CENTRAL AVENUE btwn POINT COOK ROAD & PRINCES HIGHWAY WEST Offramp,WEST BOUND,585.9285714285714,488.5,683.3571428571429
1913,2809, HIGH STREET btwn COLLINS STREET & DRYSDALE ROAD,NORTH EAST BOUND,585.8571428571429,458.07142857142856,713.6428571428571
10144,4666, SHANNON AVENUE btwn CHURCH STREET & AUTUMN STREET,NORTH BOUND,585.8214285714286,576.1428571428571,595.5
1791,3090, PEEL STREET btwn QUEENSBERRY STREET & VICTORIA STREET,SOUTH BOUND,585.7321428571429,596.2857142857143,575.1785714285714
1344,2838, BARWON HEADS ROAD btwn BREAKWATER ROAD & GEELONG-BARWON HEADS ROAD,SOUTH BOUND,585.7321428571429,401.0,770.4642857142857
2542,4005, CLARENDON STREET btwn NORMANBY ROAD & CITY ROAD,SOUTH BOUND,585.5178571428571,495.92857142857144,675.1071428571429
10338,3838, RIVERSDALE ROAD btwn TOORONGA ROAD & BURKE ROAD,WEST BOUND,585.4642857142857,663.7142857142857,507.2142857142857
10758,5022, WATERDALE ROAD btwn SOUTHERN ROAD & ALTONA STREET,NORTH BOUND,585.2142857142857,567.7142857142857,602.7142857142857
10054,4270, BAYSWATER ROAD btwn MT DANDENONG ROAD & EASTFIELD ROAD,NORTH BOUND,584.8392857142857,517.0714285714286,652.6071428571429
4599,5869, BURKE ROAD btwn WAVERLEY ROAD & DANDENONG ROAD,SOUTH BOUND,584.7142857142857,589.1428571428571,580.2857142857143
5320,6570, CALDER FREEWAY btwn CALDER HIGHWAY Offramp & CALDER HIGHWAY Onramp,SOUTH EAST BOUND,584.5714285714286,584.7142857142857,584.4285714285714
15933,2065, HUME FREEWAY btwn HUME FREEWAY Onramp & COBURG-CRAIGIEBURN ROAD,SOUTH BOUND,584.3928571428571,581.0,587.7857142857143
1387,3053, HALLAM ROAD btwn POUND ROAD & ORMOND ROAD,SOUTH BOUND,584.3571428571429,445.07142857142856,723.6428571428571
12887,7004, NURMURKAH ROAD btwn NURMURKAH ROAD & WYNDHAM STREET,NORTH BOUND,584.1607142857143,486.14285714285717,682.1785714285714
3474,4891, MALVERN ROAD btwn DARLING ROAD & WAVERLEY ROAD,SOUTH EAST BOUND,584.0178571428571,463.64285714285717,704.3928571428571
2110,3821, CAMBERWELL ROAD btwn BURWOOD ROAD & HAROLD STREET,SOUTH EAST BOUND,583.6071428571429,395.0,772.2142857142857
9645,3189, SAYERS ROAD btwn DERRIMUT ROAD & MORRIS ROAD,WEST BOUND,583.5892857142857,454.2857142857143,712.8928571428571
1531,822, NEPEAN HIGHWAY btwn CRAIGIE ROAD & URALLA ROAD,SOUTH BOUND,583.5892857142857,414.7857142857143,752.3928571428571
4511,5552, PASCOE VALE ROAD btwn KELLAWAY AVENUE & ASCOT VALE ROAD,SOUTH BOUND,583.5178571428571,606.7142857142857,560.3214285714286
960,677, SOUTH GIPPSLAND HIGHWAY btwn DALMORE ROAD & TOORADIN STATION ROAD,EAST BOUND,583.3928571428571,501.57142857142856,665.2142857142857
3164,4321, UNION STREET btwn QUEENS ROAD & ST KILDA ROAD,EAST BOUND,583.375,584.1428571428571,582.6071428571429
568,960, KEILOR-MELTON ROAD btwn FERRIS ROAD & FEDERATION DRIVE,NORTH BOUND,582.7678571428571,446.14285714285717,719.3928571428571
3541,5358, HIGH STREET ROAD btwn WARRIGAL ROAD & HUNTINGDALE ROAD,EAST BOUND,582.75,441.2142857142857,724.2857142857143
5024,7142, HUNTINGDALE ROAD btwn MONASH FREEWAY & MONASH FREEWAY Offramp,SOUTH BOUND,582.7142857142857,647.0714285714286,518.3571428571429
5443,7141, HUNTINGDALE ROAD btwn MONASH FREEWAY & MONASH FREEWAY,SOUTH BOUND,582.7142857142857,647.0714285714286,518.3571428571429
5975,7140, HUNTINGDALE ROAD btwn MONASH FREEWAY Onramp & MONASH FREEWAY,SOUTH BOUND,582.7142857142857,647.0714285714286,518.3571428571429
10613,5170, BERWICK-CRANBOURNE ROAD btwn THOMPSONS ROAD & CLYDE-FIVE WAYS ROAD,NORTH BOUND,582.6607142857143,525.1428571428571,640.1785714285714
11430,5433, DONCASTER ROAD btwn EASTERN FREEWAY Offramp & HIGH STREET,WEST BOUND,582.5892857142857,680.4285714285714,484.75
10789,5085, WATTS ROAD btwn HODGINS ROAD & HIGH STREET,NORTH BOUND,582.5178571428571,615.8571428571429,549.1785714285714
10245,5084, WATTS ROAD btwn GRAYDENS ROAD & HODGINS ROAD,NORTH BOUND,582.5178571428571,615.8571428571429,549.1785714285714
10246,5083, GRAYDENS ROAD btwn FRANKSTON-FLINDERS ROAD & WATTS ROAD,EAST BOUND,582.5178571428571,615.8571428571429,549.1785714285714
10445,4386, MOORE STREET btwn BALLARAT ROAD & DONALD STREET,NORTH BOUND,582.5,384.92857142857144,780.0714285714286
11213,5446, WARRANDYTE ROAD btwn OBAN ROAD & WONGA ROAD,NORTH BOUND,582.3928571428571,390.7142857142857,774.0714285714286
2612,3446, THOMPSON ROAD btwn MORNINGTON PENINSULA ROUTE & MORNINGTON PENINSULA ROUTE Offramp,EAST BOUND,582.375,491.57142857142856,673.1785714285714
2611,3445, THOMPSON ROAD btwn MORNINGTON PENINSULA ROUTE & MORNINGTON PENINSULA ROUTE,EAST BOUND,582.375,491.57142857142856,673.1785714285714
2020,3442, THOMPSON ROAD btwn GLADESVILLE BOULEVARD & MORNINGTON PENINSULA ROUTE Onramp,EAST BOUND,582.375,491.57142857142856,673.1785714285714
2021,3443, THOMPSON ROAD btwn MORNINGTON PENINSULA ROUTE Onramp & MORNINGTON PENINSULA ROUTE Offramp,EAST BOUND,582.375,491.57142857142856,673.1785714285714
2430,3444, THOMPSON ROAD btwn MORNINGTON PENINSULA ROUTE Offramp & MORNINGTON PENINSULA ROUTE,EAST BOUND,582.375,491.57142857142856,673.1785714285714
2215,2191, POINT NEPEAN ROAD btwn MCCULLOCH STREET & MARINE DRIVE,NORTH EAST BOUND,582.3392857142857,557.0714285714286,607.6071428571429
10957,5881, FITZGERALDS ROAD btwn DOHERTYS ROAD & KEILOR-LAVERTON ROAD,NORTH BOUND,582.1785714285714,698.9285714285714,465.42857142857144
2318,3163, STURT STREET btwn OLD WESTERN HIGHWAY & GILLIES STREET,EAST BOUND,582.0714285714286,618.8571428571429,545.2857142857143
11776,5412, CLAYTON ROAD btwn BOURKE ROAD & BOUNDARY ROAD,NORTH BOUND,581.9642857142857,601.2857142857143,562.6428571428571
3961,5405, STEPHENSONS ROAD btwn WAVERLEY ROAD & CLAYTON ROAD,SOUTH BOUND,581.6607142857143,537.0,626.3214285714286
7557,4328, SURF COAST HIGHWAY btwn SURF COAST HIGHWAY & COOMBES ROAD,NORTH BOUND,581.4285714285714,602.2142857142857,560.6428571428571
8082,4338, SURF COAST HIGHWAY btwn GREAT OCEAN ROAD & SURF COAST HIGHWAY,EAST BOUND,581.4285714285714,602.2142857142857,560.6428571428571
3694,4358, GRIEVE PARADE btwn GEELONG ROAD & WEST GATE FREEWAY Onramp,SOUTH BOUND,581.3571428571429,557.5,605.2142857142857
9799,3913, WAVERLEY ROAD btwn SPRINGVALE ROAD & GALLAGHERS ROAD,WEST BOUND,581.3392857142857,731.5714285714286,431.10714285714283
11877,5867, BURKE ROAD btwn HIGH STREET & WATTLETREE ROAD,NORTH BOUND,581.0357142857143,569.1428571428571,592.9285714285714
3056,4022, STATION STREET btwn CANTERBURY ROAD & RIVERSDALE ROAD,SOUTH BOUND,580.6071428571429,614.0714285714286,547.1428571428571
8628,2955, DERRIMUT ROAD btwn DOHERTYS ROAD & SAYERS ROAD,NORTH BOUND,580.5714285714286,582.2857142857143,578.8571428571429
8863,1173, CHAPEL STREET btwn MCCRAE STREET & MCIVOR ROAD,NORTH WEST BOUND,580.5535714285714,563.6428571428571,597.4642857142857
4734,6433, PRINCES FREEWAY EAST btwn PRINCES FREEWAY EAST & PRINCES HIGHWAY EAST Onramp,NORTH EAST BOUND,580.375,576.1428571428571,584.6071428571429
10192,4846, ALFRED STREET btwn HOWITT STREET & ALFRED STREET,NORTH WEST BOUND,580.2321428571429,620.4285714285714,540.0357142857143
4557,5734, GRANGE ROAD btwn DANDENONG ROAD & NEERIM ROAD,SOUTH BOUND,580.2142857142857,451.57142857142856,708.8571428571429
8660,3052, HALLAM SOUTH ROAD btwn PRINCES HIGHWAY EAST & HALLAM ROAD,NORTH BOUND,579.9821428571429,486.7857142857143,673.1785714285714
2541,4001, CHESTERVILLE ROAD btwn WICKHAM ROAD & KEYS ROAD,SOUTH BOUND,579.9285714285714,573.5,586.3571428571429
7924,1096, MCKILLOP STREET btwn GARDEN STREET & SWANSTON STREET,WEST BOUND,579.875,651.2142857142857,508.5357142857143
4676,6167, BELMORE ROAD btwn CARAVAN STREET & KALONGA ROAD,EAST BOUND,579.8035714285714,559.7857142857143,599.8214285714286
11530,5956, TOORAK ROAD btwn CHAPEL STREET & WILLIAMS ROAD,WEST BOUND,579.75,667.2142857142857,492.2857142857143
10421,4188, THOMPSONS ROAD btwn EASTERN FREEWAY Onramp & MANNINGHAM ROAD,SOUTH WEST BOUND,579.75,779.9285714285714,379.57142857142856
10223,5001, NICHOLSON STREET btwn GERTRUDE STREET & VICTORIA PARADE,NORTH BOUND,579.4642857142857,378.64285714285717,780.2857142857143
1820,3210, BRUNTON AVENUE btwn JOLIMONT ROAD & PUNT ROAD,SOUTH EAST BOUND,579.3392857142857,465.85714285714283,692.8214285714286
8247,646, HIGH STREET btwn BEECHWORTH ROAD & OSBURN STREET,NORTH BOUND,579.2857142857143,563.7142857142857,594.8571428571429
10691,4667, SHANNON AVENUE btwn AUTUMN STREET & ABERDEEN STREET,NORTH BOUND,579.1071428571429,577.5,580.7142857142857
8118,8255, GEELONG ROAD btwn DROOP STREET & BALLARAT ROAD,SOUTH WEST BOUND,579.0892857142857,467.07142857142856,691.1071428571429
8733,3390, SEAFORD ROAD btwn MORNINGTON PENINSULA ROUTE & MORNINGTON PENINSULA ROUTE,WEST BOUND,579.0178571428571,575.2857142857143,582.75
8734,3389, SEAFORD ROAD btwn MORNINGTON PENINSULA ROUTE Offramp & MORNINGTON PENINSULA ROUTE,WEST BOUND,579.0178571428571,575.2857142857143,582.75
9691,3391, SEAFORD ROAD btwn MORNINGTON PENINSULA ROUTE & MORNINGTON PENINSULA ROUTE Offramp,WEST BOUND,579.0178571428571,575.2857142857143,582.75
12478,6154, SOMERTON ROAD btwn MICKLEHAM ROAD & PASCOE VALE ROAD,WEST BOUND,579.0,476.14285714285717,681.8571428571429
11908,6055, BORONIA ROAD btwn DORSET ROAD & ALBERT AVENUE,WEST BOUND,578.6428571428571,614.4285714285714,542.8571428571429
3650,5826, MARIBYRNONG ROAD btwn ASCOT VALE ROAD & MT ALEXANDER ROAD,EAST BOUND,578.5178571428571,549.7857142857143,607.25
3254,4670, SHANNON AVENUE btwn NOBLE STREET & WEST FYANS STREET,SOUTH BOUND,577.9642857142857,529.5714285714286,626.3571428571429
14462,1913, BALLARAT ROAD btwn ROLLINS ROAD & ANAKIE ROAD,SOUTH EAST BOUND,577.7857142857143,549.8571428571429,605.7142857142857
2106,3798, BRIDGE ROAD btwn CHURCH STREET & COPPIN STREET,EAST BOUND,577.7142857142857,440.7857142857143,714.6428571428571
10762,5031, UPPER HEIDELBERG ROAD btwn BELL-BANKSIA LINK & BANKSIA STREET,NORTH EAST BOUND,577.4821428571429,438.85714285714283,716.1071428571429
10788,5086, WATTS ROAD btwn HIGH STREET & FRANKSTON-FLINDERS ROAD,NORTH BOUND,577.4642857142857,603.9285714285714,551.0
3373,4408, GORDON STREET btwn BARKLY STREET & GORDON STREET,SOUTH BOUND,577.4285714285714,457.92857142857144,696.9285714285714
8865,1221, ABERDEEN STREET btwn PAKINGTON STREET & LATROBE TERRACE,WEST BOUND,577.375,464.5,690.25
2507,3810, SWAN STREET btwn COPPIN STREET & BURNLEY STREET,EAST BOUND,577.3571428571429,433.57142857142856,721.1428571428571
11122,4881, MALVERN ROAD btwn WILLIAMS ROAD & ORRONG ROAD,WEST BOUND,577.2321428571429,719.2142857142857,435.25
8964,2182, POINT NEPEAN ROAD btwn LONSDALE STREET & MCCULLOCH STREET,WEST BOUND,576.9107142857143,520.9285714285714,632.8928571428571
2723,3911, WAVERLEY ROAD btwn FORSTER ROAD & BLACKBURN ROAD,EAST BOUND,576.875,423.7142857142857,730.0357142857143
9191,2783, EDGARS ROAD btwn KINGSWAY DRIVE & MAIN STREET,NORTH BOUND,576.8035714285714,416.14285714285717,737.4642857142857
15255,2501, NAPIER STREET btwn CHAPEL STREET & IRONBARK-WHITE HILLS ROAD,SOUTH WEST BOUND,576.7678571428571,593.7857142857143,559.75
8759,3474, HUTTON ROAD btwn SPRINGVALE ROAD & CHAPEL ROAD,WEST BOUND,576.5,630.4285714285714,522.5714285714286
11788,5425, DONCASTER ROAD btwn BURKE ROAD & BULLEEN ROAD,WEST BOUND,576.2321428571429,681.2857142857143,471.17857142857144
3813,4882, MALVERN ROAD btwn ORRONG ROAD & CLENDON ROAD,EAST BOUND,576.2142857142857,416.7857142857143,735.6428571428571
9029,2959, DERRIMUT ROAD btwn MELTON-WERRIBEE ROAD & PRINCES HIGHWAY,NORTH BOUND,576.125,464.7857142857143,687.4642857142857
8629,2952, HOPKINS ROAD btwn WESTERN HIGHWAY Offramp & GREIGS ROAD,NORTH BOUND,576.0714285714286,396.5,755.6428571428571
12122,6076, SPRINGVALE ROAD btwn REYNOLDS ROAD & OLD WARRANDYTE ROAD,NORTH BOUND,576.0535714285714,453.5,698.6071428571429
4201,5667, WILLIAMSTOWN ROAD btwn SALMON STREET & GRAHAM STREET,EAST BOUND,575.9464285714286,571.6428571428571,580.25
7548,3370, FRANCIS STREET btwn WILLIAMSTOWN ROAD & HYDE STREET,WEST BOUND,575.375,442.2142857142857,708.5357142857143
4767,5740, NORTH ROAD btwn COCHRANE STREET & ASLING STREET,EAST BOUND,575.3571428571429,475.0,675.7142857142857
1958,3010, VINEYARD ROAD btwn GAP ROAD & CALDER HIGHWAY Offramp,SOUTH BOUND,575.3571428571429,609.7142857142857,541.0
4559,5739, NORTH ROAD btwn NEW STREET & COCHRANE STREET,EAST BOUND,575.3571428571429,475.0,675.7142857142857
1216,1109, QUEENSCLIFF ROAD btwn FLINDERS STREET & POINT LONSDALE ROAD,EAST BOUND,575.3392857142857,392.14285714285717,758.5357142857143
4743,6464, MAIN STREET btwn MAIN STREET & MAIN ROAD,NORTH EAST BOUND,574.8392857142857,551.9285714285714,597.75
10693,4677, BUCKLEY STREET btwn WAVERLEY STREET & LINCOLN ROAD,WEST BOUND,574.8214285714286,494.42857142857144,655.2142857142857
3556,5449, WARRANDYTE ROAD btwn LOUGHNAN ROAD & RINGWOOD BYPASS,SOUTH BOUND,574.6428571428571,639.2857142857143,510.0
4124,5312, STUD ROAD btwn MOUNTAIN HIGHWAY & BORONIA ROAD,SOUTH BOUND,574.5357142857143,550.2142857142857,598.8571428571429
2549,4032, CITY ROAD btwn POWER STREET & KINGS WAY,SOUTH WEST BOUND,574.4107142857143,589.2142857142857,559.6071428571429
8839,1022, WHITEHORSE ROAD btwn ELGAR ROAD & UNION ROAD,WEST BOUND,574.1428571428571,614.4285714285714,533.8571428571429
15956,2133, FITZGERALD ROAD btwn WESTERN RING ROAD Offramp & DEER PARK BYPASS,SOUTH BOUND,574.1428571428571,608.5714285714286,539.7142857142857
14524,2134, FITZGERALD ROAD btwn DEER PARK BYPASS & BOUNDARY ROAD,SOUTH BOUND,574.1428571428571,608.5714285714286,539.7142857142857
11863,5739, NORTH ROAD btwn NEW STREET & COCHRANE STREET,WEST BOUND,574.0178571428571,636.8571428571429,511.17857142857144
11862,5740, NORTH ROAD btwn COCHRANE STREET & ASLING STREET,WEST BOUND,574.0178571428571,636.8571428571429,511.17857142857144
3252,4665, SHANNON AVENUE btwn BALLARAT ROAD & CHURCH STREET,SOUTH BOUND,573.6071428571429,466.14285714285717,681.0714285714286
14923,7923, GORDON STREET btwn GORDON STREET & GEELONG ROAD,SOUTH BOUND,573.1964285714286,495.85714285714283,650.5357142857143
12145,6179, HEATHERTON ROAD btwn CORRIGAN ROAD & DOUGLAS STREET,WEST BOUND,572.9642857142857,584.2857142857143,561.6428571428571
12460,6072, COTHAM ROAD btwn GLENFERRIE ROAD & BURKE ROAD,WEST BOUND,572.6964285714286,688.1428571428571,457.25
3314,4090, FOOTE STREET btwn TEMPLESTOWE ROAD & HIGH STREET,EAST BOUND,572.6071428571429,311.35714285714283,833.8571428571429
2417,3388, SEAFORD ROAD btwn NEPEAN HIGHWAY & MORNINGTON PENINSULA ROUTE Offramp,EAST BOUND,572.4821428571429,524.7142857142857,620.25
10876,5462, KANGAROO GROUND-WARRANDYTE ROAD btwn RESEARCH-WARRANDYTE ROAD & YARRA STREET,NORTH BOUND,572.3928571428571,391.7857142857143,753.0
2940,3499, CONDON STREET btwn MILLER STREET & RESERVOIR ROAD,EAST BOUND,572.3214285714286,410.7857142857143,733.8571428571429
